model_id,model_label,model_year,layer_id,layer_label,stage,note,mean_off_diagonal,std_off_diagonal,max_pair,max_value,min_pair,min_value,workbook_file,csv_file
vgg16,VGG16,2014,block1_conv2,block1_conv2,early,local edges and repeated texture,0.891381,0.065371,paintbrush | wishbone,0.999293,pen | pizza,0.624026,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_block1_conv2.csv
vgg16,VGG16,2014,block2_conv2,block2_conv2,early,contours and simple shape fragments,0.856982,0.071013,paintbrush | wishbone,0.992235,paintbrush | pizza,0.428324,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_block2_conv2.csv
vgg16,VGG16,2014,block3_conv3,block3_conv3,mid,parts and recurring motifs,0.803041,0.077109,paintbrush | pogostick,0.982764,pen | pizza,0.37162,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_block3_conv3.csv
vgg16,VGG16,2014,block4_conv3,block4_conv3,late,semantic part groupings,0.643982,0.08595,paintbrush | pogostick,0.897949,dryingrack | pizza,0.308335,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_block4_conv3.csv
vgg16,VGG16,2014,block5_conv2,block5_conv2,late,stable category structure,0.567872,0.077484,paintbrush | pogostick,0.832831,pizza | tree,0.239079,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_block5_conv2.csv
vgg16,VGG16,2014,block5_conv3,block5_conv3,deep,high-level category abstraction,0.326504,0.076173,key | pogostick,0.612509,pizza | suit,0.100838,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/vgg16_block5_conv3.csv
alexnet,AlexNet,2012,conv1,conv1,early,coarse oriented edges,0.867683,0.071336,paintbrush | wishbone,0.998463,pizza | wishbone,0.501563,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_conv1.csv
alexnet,AlexNet,2012,conv2,conv2,early,sharper contours and motifs,0.723922,0.072693,paintbrush | wishbone,0.931042,pen | pizza,0.376303,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_conv2.csv
alexnet,AlexNet,2012,conv3,conv3,mid,local part combinations,0.681754,0.072446,lipstick | paintbrush,0.897623,pen | pizza,0.383379,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_conv3.csv
alexnet,AlexNet,2012,conv4,conv4,late,category-relevant motifs,0.653653,0.076616,paintbrush | pogostick,0.883821,door | pizza,0.335283,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_conv4.csv
alexnet,AlexNet,2012,conv5,conv5,deep,broad category identity,0.426349,0.087335,paintbrush | wishbone,0.804262,door | pizza,0.153814,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/alexnet_conv5.csv
convnextv2,ConvNeXt V2,2023,stage1,stage1,early,local texture organization,0.921809,0.014349,paintbrush | pogostick,0.982274,compass | pizza,0.871985,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_stage1.csv
convnextv2,ConvNeXt V2,2023,stage2,stage2,mid,shape fragments and repeated parts,0.881024,0.020002,paintbrush | pogostick,0.97485,bike | trophy,0.801212,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_stage2.csv
convnextv2,ConvNeXt V2,2023,stage3,stage3,late,larger semantic compositions,0.792818,0.046731,lipstick | paintbrush,0.969071,belt | pictureframe,0.625866,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_stage3.csv
convnextv2,ConvNeXt V2,2023,stage4,stage4,deep,high-level semantic grouping,0.122195,0.051933,bed | couch,0.43931,pogostick | snowglobe,0.022709,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_similarity_matrices.xlsx,/Users/lukepezanko/Documents/New project/website/data/exports/convnextv2_stage4.csv
